Metrics,Severity,API,Description
java.method.added,No,org.lwjgl.system.linux.EpollEvent.Buffer.data:(Ljava.util.function.Consumer),Added Methods
java.method.added,No,org.lwjgl.system.linux.EpollEvent.Buffer.data:(Lorg.lwjgl.system.linux.EpollData),Added Methods
java.method.added,No,"org.lwjgl.system.linux.EpollEvent.Buffer.""<init>"":(Ljava.nio.ByteBuffer)",Added Methods
java.method.added,No,"org.lwjgl.system.linux.EpollEvent.Buffer.""<init>"":(JI)",Added Methods
java.method.added,No,org.lwjgl.system.linux.EpollEvent.Buffer.events:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.EpollEvent.Buffer.events:(I),Added Methods
java.method.added,No,org.lwjgl.system.linux.EpollEvent.Buffer.getElementFactory:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.EpollEvent.Buffer.getElementFactory:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.EpollEvent.Buffer.self:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.EpollEvent.Buffer.self:(),Added Methods
java.method.added,No,"org.lwjgl.system.linux.Flock.Buffer.""<init>"":(Ljava.nio.ByteBuffer)",Added Methods
java.method.added,No,"org.lwjgl.system.linux.Flock.Buffer.""<init>"":(JI)",Added Methods
java.method.added,No,org.lwjgl.system.linux.Flock.Buffer.getElementFactory:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Flock.Buffer.getElementFactory:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Flock.Buffer.l_len:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Flock.Buffer.l_len:(J),Added Methods
java.method.added,No,org.lwjgl.system.linux.Flock.Buffer.l_pid:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Flock.Buffer.l_pid:(I),Added Methods
java.method.added,No,org.lwjgl.system.linux.Flock.Buffer.l_start:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Flock.Buffer.l_start:(J),Added Methods
java.method.added,No,org.lwjgl.system.linux.Flock.Buffer.l_type:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Flock.Buffer.l_type:(S),Added Methods
java.method.added,No,org.lwjgl.system.linux.Flock.Buffer.l_whence:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Flock.Buffer.l_whence:(S),Added Methods
java.method.added,No,org.lwjgl.system.linux.Flock.Buffer.self:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Flock.Buffer.self:(),Added Methods
java.method.added,No,"org.lwjgl.system.linux.FOwnerEx.Buffer.""<init>"":(Ljava.nio.ByteBuffer)",Added Methods
java.method.added,No,"org.lwjgl.system.linux.FOwnerEx.Buffer.""<init>"":(JI)",Added Methods
java.method.added,No,org.lwjgl.system.linux.FOwnerEx.Buffer.getElementFactory:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.FOwnerEx.Buffer.getElementFactory:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.FOwnerEx.Buffer.pid:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.FOwnerEx.Buffer.pid:(I),Added Methods
java.method.added,No,org.lwjgl.system.linux.FOwnerEx.Buffer.self:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.FOwnerEx.Buffer.self:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.FOwnerEx.Buffer.type:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.FOwnerEx.Buffer.type:(I),Added Methods
java.method.added,No,org.lwjgl.system.linux.IOVec.Buffer.getElementFactory:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.IOVec.Buffer.getElementFactory:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.IOVec.Buffer.iov_base:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.IOVec.Buffer.iov_base:(Ljava.nio.ByteBuffer),Added Methods
java.method.added,No,org.lwjgl.system.linux.IOVec.Buffer.iov_len:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.IOVec.Buffer.iov_len:(J),Added Methods
java.method.added,No,"org.lwjgl.system.linux.IOVec.Buffer.""<init>"":(Ljava.nio.ByteBuffer)",Added Methods
java.method.added,No,"org.lwjgl.system.linux.IOVec.Buffer.""<init>"":(JI)",Added Methods
java.method.added,No,org.lwjgl.system.linux.IOVec.Buffer.self:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.IOVec.Buffer.self:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.KernelTimespec.Buffer.getElementFactory:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.KernelTimespec.Buffer.getElementFactory:(),Added Methods
java.method.added,No,"org.lwjgl.system.linux.KernelTimespec.Buffer.""<init>"":(Ljava.nio.ByteBuffer)",Added Methods
java.method.added,No,"org.lwjgl.system.linux.KernelTimespec.Buffer.""<init>"":(JI)",Added Methods
java.method.added,No,org.lwjgl.system.linux.KernelTimespec.Buffer.self:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.KernelTimespec.Buffer.self:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.KernelTimespec.Buffer.tv_nsec:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.KernelTimespec.Buffer.tv_nsec:(J),Added Methods
java.method.added,No,org.lwjgl.system.linux.KernelTimespec.Buffer.tv_sec:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.KernelTimespec.Buffer.tv_sec:(J),Added Methods
java.method.added,No,org.lwjgl.system.linux.Msghdr.Buffer.getElementFactory:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Msghdr.Buffer.getElementFactory:(),Added Methods
java.method.added,No,org.lwjgl.system.linux.Msghdr.Buffer.msg_control:(),Added Methods
