Metrics,Severity,API,Description
java.method.added,No,io.swagger.v3.core.converter.AnnotatedType.setJsonViewAnnotation:(Lcom.fasterxml.jackson.annotation.JsonView),Added Methods
java.method.added,No,io.swagger.v3.core.converter.AnnotatedType.setName:(Ljava.lang.String),Added Methods
java.method.added,No,io.swagger.v3.core.converter.AnnotatedType.setParent:(Lio.swagger.v3.oas.models.media.Schema),Added Methods
java.method.added,No,io.swagger.v3.core.converter.AnnotatedType.setPropertyName:(Ljava.lang.String),Added Methods
java.method.added,No,io.swagger.v3.core.converter.AnnotatedType.setResolveAsRef:(Z),Added Methods
java.method.added,No,io.swagger.v3.core.converter.AnnotatedType.setSchemaProperty:(Z),Added Methods
java.method.added,No,io.swagger.v3.core.converter.AnnotatedType.setSkipJsonIdentity:(Z),Added Methods
java.method.added,No,io.swagger.v3.core.converter.AnnotatedType.setSkipOverride:(Z),Added Methods
java.method.added,No,io.swagger.v3.core.converter.AnnotatedType.setSkipSchemaName:(Z),Added Methods
java.method.added,No,io.swagger.v3.core.converter.AnnotatedType.setType:(Ljava.lang.reflect.Type),Added Methods
java.method.added,No,io.swagger.v3.core.converter.AnnotatedType.skipJsonIdentity:(Z),Added Methods
java.method.added,No,io.swagger.v3.core.converter.AnnotatedType.skipOverride:(Z),Added Methods
java.method.added,No,io.swagger.v3.core.converter.AnnotatedType.skipSchemaName:(Z),Added Methods
java.method.added,No,io.swagger.v3.core.converter.AnnotatedType.type:(Ljava.lang.reflect.Type),Added Methods
java.method.added,No,io.swagger.v3.core.util.AnnotationsUtils.addEncodingToMediaType:(Lio.swagger.v3.oas.models.media.MediaTypeLio.swagger.v3.oas.annotations.media.EncodingLcom.fasterxml.jackson.annotation.JsonView),Added Methods
java.method.added,No,"io.swagger.v3.core.util.AnnotationsUtils.""<init>"":()",Added Methods
java.method.added,No,io.swagger.v3.core.util.AnnotationsUtils.applyTypes:([Ljava.lang.String[Ljava.lang.StringLio.swagger.v3.oas.models.media.ContentLio.swagger.v3.oas.models.media.MediaType),Added Methods
java.method.added,No,io.swagger.v3.core.util.AnnotationsUtils.equals:(Ljava.lang.annotation.AnnotationLjava.lang.annotation.Annotation),Added Methods
java.method.added,No,io.swagger.v3.core.util.AnnotationsUtils.equals:(Lio.swagger.v3.oas.annotations.media.ArraySchemaLio.swagger.v3.oas.annotations.media.ArraySchema),Added Methods
java.method.added,No,io.swagger.v3.core.util.AnnotationsUtils.equals:(Lio.swagger.v3.oas.annotations.media.SchemaLio.swagger.v3.oas.annotations.media.Schema),Added Methods
java.method.added,No,io.swagger.v3.core.util.AnnotationsUtils.getAnnotation:(Ljava.lang.Class[Ljava.lang.annotation.Annotation),Added Methods
java.method.added,No,io.swagger.v3.core.util.AnnotationsUtils.getArraySchema:(Lio.swagger.v3.oas.annotations.media.ArraySchemaLio.swagger.v3.oas.models.ComponentsLcom.fasterxml.jackson.annotation.JsonView),Added Methods
java.method.added,No,io.swagger.v3.core.util.AnnotationsUtils.getArraySchema:(Lio.swagger.v3.oas.annotations.media.ArraySchemaLcom.fasterxml.jackson.annotation.JsonView),Added Methods
java.method.added,No,io.swagger.v3.core.util.AnnotationsUtils.getArraySchemaAnnotation:([Ljava.lang.annotation.Annotation),Added Methods
java.method.added,No,io.swagger.v3.core.util.AnnotationsUtils.getContact:(Lio.swagger.v3.oas.annotations.info.Contact),Added Methods
java.method.added,No,io.swagger.v3.core.util.AnnotationsUtils.getContent:([Lio.swagger.v3.oas.annotations.media.Content[Ljava.lang.String[Ljava.lang.StringLio.swagger.v3.oas.models.media.SchemaLio.swagger.v3.oas.models.ComponentsLcom.fasterxml.jackson.annotation.JsonView),Added Methods
java.method.added,No,io.swagger.v3.core.util.AnnotationsUtils.getExample:(Lio.swagger.v3.oas.annotations.media.ExampleObject),Added Methods
java.method.added,No,io.swagger.v3.core.util.AnnotationsUtils.getExample:(Lio.swagger.v3.oas.annotations.media.ExampleObjectZ),Added Methods
java.method.added,No,io.swagger.v3.core.util.AnnotationsUtils.getExtensions:([Lio.swagger.v3.oas.annotations.extensions.Extension),Added Methods
java.method.added,No,io.swagger.v3.core.util.AnnotationsUtils.getExternalDocumentation:(Lio.swagger.v3.oas.annotations.ExternalDocumentation),Added Methods
java.method.added,No,io.swagger.v3.core.util.AnnotationsUtils.getHeader:(Lio.swagger.v3.oas.annotations.headers.HeaderLcom.fasterxml.jackson.annotation.JsonView),Added Methods
java.method.added,No,io.swagger.v3.core.util.AnnotationsUtils.getHeaders:([Lio.swagger.v3.oas.annotations.headers.HeaderLcom.fasterxml.jackson.annotation.JsonView),Added Methods
java.method.added,No,io.swagger.v3.core.util.AnnotationsUtils.getInfo:(Lio.swagger.v3.oas.annotations.info.Info),Added Methods
java.method.added,No,io.swagger.v3.core.util.AnnotationsUtils.getLicense:(Lio.swagger.v3.oas.annotations.info.License),Added Methods
java.method.added,No,io.swagger.v3.core.util.AnnotationsUtils.getLink:(Lio.swagger.v3.oas.annotations.links.Link),Added Methods
java.method.added,No,io.swagger.v3.core.util.AnnotationsUtils.getLinkParameters:([Lio.swagger.v3.oas.annotations.links.LinkParameter),Added Methods
java.method.added,No,io.swagger.v3.core.util.AnnotationsUtils.getLinks:([Lio.swagger.v3.oas.annotations.links.Link),Added Methods
java.method.added,No,io.swagger.v3.core.util.AnnotationsUtils.getSchema:(Lio.swagger.v3.oas.annotations.media.ContentLio.swagger.v3.oas.models.ComponentsLcom.fasterxml.jackson.annotation.JsonView),Added Methods
java.method.added,No,io.swagger.v3.core.util.AnnotationsUtils.getSchema:(Lio.swagger.v3.oas.annotations.media.SchemaLio.swagger.v3.oas.annotations.media.ArraySchemaZLjava.lang.ClassLio.swagger.v3.oas.models.ComponentsLcom.fasterxml.jackson.annotation.JsonView),Added Methods
java.method.added,No,io.swagger.v3.core.util.AnnotationsUtils.getSchemaAnnotation:(Lcom.fasterxml.jackson.databind.introspect.Annotated),Added Methods
java.method.added,No,io.swagger.v3.core.util.AnnotationsUtils.getSchemaAnnotation:([Ljava.lang.annotation.Annotation),Added Methods
java.method.added,No,io.swagger.v3.core.util.AnnotationsUtils.getSchemaAnnotation:(Ljava.lang.Class),Added Methods
java.method.added,No,io.swagger.v3.core.util.AnnotationsUtils.getSchemaDeclaredAnnotation:(Lcom.fasterxml.jackson.databind.introspect.Annotated),Added Methods
java.method.added,No,io.swagger.v3.core.util.AnnotationsUtils.getSchemaDeclaredAnnotation:(Ljava.lang.Class),Added Methods
